permno,adate,qdate,public_date,CAPEI,evm,pe_exi,pe_inc,npm,roa,roe,de_ratio,quick_ratio,sale_nwc,TICKER
25785,12/31/1990,12/31/1990,3/31/1991,4.22,7.073,17.595,17.595,0.009,0.092,0.033,6.432,,,F
25785,12/31/1990,12/31/1990,4/30/1991,4.236,7.073,17.663,17.663,0.009,0.092,0.033,6.432,,,F
25785,12/31/1990,3/31/1991,5/31/1991,4.735,7.985,-33.523,-33.523,-0.006,0.081,-0.02,6.369,,,F
25785,12/31/1990,3/31/1991,6/30/1991,4.686,7.985,-32.727,-32.727,-0.006,0.081,-0.02,6.369,,,F
25785,12/31/1990,3/31/1991,7/31/1991,4.36,7.985,-30.455,-30.455,-0.006,0.081,-0.02,6.369,,,F
25785,12/31/1990,6/30/1991,8/31/1991,4.316,9.015,-9.048,-9.048,-0.018,0.071,-0.061,6.603,,,F
25785,12/31/1990,6/30/1991,9/30/1991,4.163,9.015,-8.721,-8.721,-0.018,0.071,-0.061,6.603,,,F
25785,12/31/1990,6/30/1991,10/31/1991,3.764,9.015,-7.885,-7.885,-0.018,0.071,-0.061,6.603,,,F
25785,12/31/1990,9/30/1991,11/30/1991,3.623,9.512,-4.938,-4.938,-0.025,0.067,-0.091,6.916,,,F
25785,12/31/1990,9/30/1991,12/31/1991,4.313,9.512,-5.787,-5.787,-0.025,0.067,-0.091,6.916,,,F
25785,12/31/1990,9/30/1991,1/31/1992,4.677,9.512,-6.276,-6.276,-0.025,0.067,-0.091,6.916,,,F
25785,12/31/1991,12/31/1991,2/29/1992,7.146,9.716,-7.672,-7.672,-0.026,0.068,-0.091,6.033,,,F
25785,12/31/1991,12/31/1991,3/31/1992,7.462,9.716,-8.011,-8.011,-0.026,0.068,-0.091,6.033,,,F
25785,12/31/1991,12/31/1991,4/30/1992,8.824,9.716,-9.473,-9.473,-0.026,0.068,-0.091,6.033,,,F
25785,12/31/1991,3/31/1992,5/31/1992,8.211,8.327,-17.402,-2.648,-0.013,0.078,-0.048,6.965,,,F
25785,12/31/1991,3/31/1992,6/30/1992,8.558,8.327,-17.99,-2.737,-0.013,0.078,-0.048,6.965,,,F
25785,12/31/1991,3/31/1992,7/31/1992,8.535,8.327,-17.941,-2.73,-0.013,0.078,-0.048,6.965,,,F
25785,12/31/1991,6/30/1992,8/31/1992,8.395,7.777,-34.244,-2.646,-0.005,0.085,-0.018,6.863,,,F
25785,12/31/1991,6/30/1992,9/30/1992,8.184,7.777,-33.193,-2.565,-0.005,0.085,-0.018,6.863,,,F
25785,12/31/1991,6/30/1992,10/31/1992,7.562,7.777,-30.672,-2.37,-0.005,0.085,-0.018,6.863,,,F
25785,12/31/1991,9/30/1992,11/30/1992,9.648,7.948,-64.615,-2.826,-0.001,0.083,-0.005,6.704,,,F
25785,12/31/1991,9/30/1992,12/31/1992,9.861,7.948,-65.962,-2.885,-0.001,0.083,-0.005,6.704,,,F
25785,12/31/1991,9/30/1992,1/31/1993,10.608,7.948,-70.962,-3.104,-0.001,0.083,-0.005,6.704,,,F
25785,12/31/1992,12/31/1992,2/28/1993,15.474,8.944,-31.421,-2.939,-0.005,0.078,-0.027,9.066,,,F
25785,12/31/1992,12/31/1992,3/31/1993,17.54,8.944,-35.616,-3.331,-0.005,0.078,-0.027,9.066,,,F
25785,12/31/1992,12/31/1992,4/30/1993,18.468,8.944,-37.5,-3.507,-0.005,0.078,-0.027,9.066,,,F
25785,12/31/1992,3/31/1993,5/31/1993,15.663,8.417,-59.091,-59.091,-0.001,0.08,-0.006,8.459,,,F
25785,12/31/1992,3/31/1993,6/30/1993,15.841,8.417,-59.375,-59.375,-0.001,0.08,-0.006,8.459,,,F
25785,12/31/1992,3/31/1993,7/31/1993,15.993,8.417,-59.943,-59.943,-0.001,0.08,-0.006,8.459,,,F
25785,12/31/1992,6/30/1993,8/31/1993,18.076,8.427,-177.78,-196.15,0.002,0.081,0.01,9.69,,,F
25785,12/31/1992,6/30/1993,9/30/1993,19.609,8.427,-192.13,-212.5,0.002,0.081,0.01,9.69,,,F
25785,12/31/1992,6/30/1993,10/31/1993,21.96,8.427,-234.38,-236.41,0.002,0.081,0.01,9.69,,,F
25785,12/31/1992,9/30/1993,11/30/1993,23.533,8.136,52.371,52.371,0.009,0.086,0.048,11.24,,,F
25785,12/31/1992,9/30/1993,12/31/1993,24.985,8.136,55.603,55.603,0.009,0.086,0.048,11.24,,,F
25785,12/31/1992,9/30/1993,1/31/1994,25.954,8.136,57.759,57.759,0.009,0.086,0.048,11.24,,,F
25785,12/31/1993,12/31/1993,2/28/1994,31.831,8.184,14.792,14.792,0.023,0.096,0.169,9.579,,,F
25785,12/31/1993,12/31/1993,3/31/1994,30.102,8.184,13.988,13.988,0.023,0.096,0.169,9.579,,,F
25785,12/31/1993,12/31/1993,4/30/1994,29.91,8.184,13.899,13.899,0.023,0.096,0.169,9.579,,,F
25785,12/31/1993,3/31/1994,5/31/1994,28.724,7.17,12.132,12.132,0.026,0.101,0.152,11.287,,,F
